icij_sar_id,filer_org_name_id,filer_org_name,entity_b_id,entity_b,entity_b_country,entity_b_iso_code
4360,deutsche-bank-ag,Deutsche Bank AG,kereskedelmi-es-hitel-bank-rt-hungary-hun,Kereskedelmi Es Hitel Bank Rt,Hungary,HUN
4360,deutsche-bank-ag,Deutsche Bank AG,saitama-resona-bank-limited-japan-jpn,Saitama Resona Bank Limited,Japan,JPN
4360,deutsche-bank-ag,Deutsche Bank AG,sampath-bank-plc-company-sri-lanka-lka,Sampath Bank Plc Company,Sri Lanka,LKA
4360,deutsche-bank-ag,Deutsche Bank AG,nations-trust-bank-plc-sri-lanka-lka,Nations Trust Bank Plc,Sri Lanka,LKA
4360,deutsche-bank-ag,Deutsche Bank AG,t-garanti-turkey-tur,T Garanti,Turkey,TUR
4360,deutsche-bank-ag,Deutsche Bank AG,national-westminster-bank-plc-united-kingdom-gbr,National Westminster Bank Plc,United Kingdom,GBR
4360,deutsche-bank-ag,Deutsche Bank AG,deutsche-bank-ag-united-kingdom-gbr,Deutsche Bank AG,United Kingdom,GBR
2593,deutsche-bank-ag,Deutsche Bank AG,erste-group-bank-ag-austria-aut,Erste Group Bank AG,Austria,AUT
2593,deutsche-bank-ag,Deutsche Bank AG,ceska-sporitelna-as-czech-republic-cze,Ceska Sporitelna AS,Czech Republic,CZE
2593,deutsche-bank-ag,Deutsche Bank AG,ceskoslovenska-obchodni-banka-as-czech-republic-cze,Ceskoslovenska Obchodni Banka AS,Czech Republic,CZE
2593,deutsche-bank-ag,Deutsche Bank AG,deutsche-bank-ag-czech-republic-cze,Deutsche Bank AG,Czech Republic,CZE
2593,deutsche-bank-ag,Deutsche Bank AG,komercni-banka-as-czech-republic-cze,Komercni Banka AS,Czech Republic,CZE
3329,standard-chartered-plc,Standard Chartered Plc,pt-bank-mandiri-persero-tbk-indonesia-idn,PT Bank Mandiri Persero Tbk,Indonesia,IDN
3329,standard-chartered-plc,Standard Chartered Plc,pt-bk-negara-indonesia-persero-tbk-indonesia-idn,PT Bk Negara Indonesia Persero Tbk,Indonesia,IDN
3329,standard-chartered-plc,Standard Chartered Plc,pt-bk-rakyat-indonesia-persero-tbk-indonesia-idn,PT Bk Rakyat Indonesia Persero Tbk,Indonesia,IDN
3329,standard-chartered-plc,Standard Chartered Plc,standard-chartered-bank-singapore-sgp,Standard Chartered Bank,Singapore,SGP
2503,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,credit-suisse-zurich-switzerland-che,Credit Suisse,Switzerland,CHE
2503,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,halyk-savings-bank-almaty-kazakhstan-kaz,Halyk Savings Bank,Kazakhstan,KAZ
2503,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,eurobank-cyprus-ltd-nicosia-cyprus-cyp,Eurobank Cyprus Ltd,Cyprus,CYP
2503,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,unicredit-spa-milan-italy-ita,UniCredit Spa,Italy,ITA
4192,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,dbs-bank-ltd-singapore-sgp,DBS Bank Ltd,Singapore,SGP
3677,deutsche-bank-ag,Deutsche Bank AG,deutsche-bank-polska-sa-poland-pol,Deutsche Bank Polska Sa,Poland,POL
3677,deutsche-bank-ag,Deutsche Bank AG,national-bank-for-foreign-economic-activity-uzbekistan-uzb,National Bank For Foreign Economic Activity,Uzbekistan,UZB
3677,deutsche-bank-ag,Deutsche Bank AG,raiffeisen-bank-aval-public-joint-ukraine-ukr,Raiffeisen Bank Aval Public Joint,Ukraine,UKR
3677,deutsche-bank-ag,Deutsche Bank AG,deutsche-bank-china-co-ltd-beijing-china-chn,Deutsche Bank China Co Ltd Beijing,China,CHN
3677,deutsche-bank-ag,Deutsche Bank AG,private-stock-company-ukraine-ukraine-ukr,Private Stock Company Ukraine,Ukraine,UKR
3677,deutsche-bank-ag,Deutsche Bank AG,state-exp-imp-bk-of-ukraine-ukraine-ukr,State Exp-Imp Bk of Ukraine,Ukraine,UKR
3677,deutsche-bank-ag,Deutsche Bank AG,deutsche-bank-dbu-pjcs-ukraine-ukr,Deutsche Bank Dbu Pjcs,Ukraine,UKR
3677,deutsche-bank-ag,Deutsche Bank AG,society-general-france-fra,Society General,France,FRA
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,privatbank-dnepropetrovsk-ukraine-ukr,PrivatBank,Ukraine,UKR
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,international-bank-of-stpetersburg-plc-moscow-russia-rus,International Bank of St.Petersburg Plc,Russia,RUS
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,china-construction-bank-corporation-beijing-china-chn,China Construction Bank Corporation,China,CHN
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,industrial-and-comml-bank-of-china-beijing-china-chn,Industrial And Comm'L Bank of China,China,CHN
3678,the-bank-of-new-york-mellon-corp,The Bank of New York Mellon Corp.,bank-of-china-limited-beijing-china-chn,Bank of  China Limited,China,CHN
